serial_time	550_nm	680_nm	 
736865.956863425900	9.39	5.27	
736865.956875000030	9.38	5.29	
736865.956886574040	9.37	5.31	
736865.956898148170	9.34	5.31	
736865.956909722180	9.31	5.32	
736865.956921296310	9.31	5.33	
736865.956932870320	9.31	5.35	
736865.956944444450	9.31	5.35	
736865.956956018460	9.30	5.35	
736865.956967592590	9.30	5.35	
736865.956979166720	9.31	5.36	
736865.956990740730	9.31	5.37	
736865.957002314860	9.31	5.36	
736865.957013888870	9.31	5.36	
736865.957025462990	9.30	5.37	
736865.957037037010	9.31	5.38	
736865.957048611130	9.31	5.37	
736865.957060185140	9.33	5.37	
736865.957071759270	9.33	5.37	
736865.957083333280	9.33	5.38	
736865.957094907410	9.34	5.39	
736865.957106481540	9.35	5.40	
736865.957118055550	9.37	5.40	
736865.957129629680	9.39	5.42	
736865.957141203690	9.39	5.42	
736865.957152777820	9.40	5.42	
736865.957164351830	9.40	5.42	
736865.957175925960	9.41	5.42	
736865.957187499970	9.42	5.43	
736865.957199074100	9.42	5.44	
736865.957210648110	9.42	5.44	
736865.957222222230	9.42	5.44	
736865.957233796250	9.41	5.42	
736865.957245370370	9.39	5.41	
736865.957256944380	9.38	5.41	
736865.957268518510	9.38	5.43	
736865.957280092640	9.38	5.45	
736865.957291666650	9.38	5.47	
736865.957303240780	9.39	5.48	
736865.957314814790	9.40	5.48	
736865.957326388920	9.40	5.49	
736865.957337962930	9.41	5.49	
736865.957349537060	9.42	5.54	
736865.957361111070	9.42	5.54	
736865.957372685200	9.41	5.55	
736865.957384259210	9.41	5.56	
736865.957395833330	9.42	5.56	
736865.957407407460	9.43	5.57	
736865.957418981470	9.44	5.57	
736865.957430555600	9.43	5.56	
736865.957442129610	9.41	5.55	
736865.957453703740	9.40	5.54	
736865.957465277750	9.40	5.54	
736865.957476851880	9.40	5.55	
736865.957488425890	9.40	5.57	
736865.957500000020	9.40	5.58	
736865.957511574030	9.39	5.58	
736865.957523148160	9.39	5.55	
736865.957534722170	9.38	5.46	
736865.957546296300	9.38	5.46	
736865.957557870420	9.38	5.46	
736865.957569444440	9.39	5.45	
736865.957581018560	9.40	5.45	
736865.957592592570	9.43	5.46	
736865.957604166700	9.45	5.46	
736865.957615740710	9.46	5.47	
736865.957627314840	9.49	5.47	
736865.957638888850	9.49	5.47	
736865.957650462980	9.49	5.48	
736865.957662036990	9.50	5.49	
736865.957673611120	9.51	5.50	
736865.957685185130	9.52	5.48	
736865.957696759260	9.52	5.47	
736865.957708333390	9.51	5.48	
736865.957719907400	9.50	5.49	
736865.957731481530	9.50	5.49	
736865.957743055540	9.50	5.49	
736865.957754629660	9.51	5.50	
736865.957766203680	9.52	5.50	
736865.957777777800	9.53	5.53	
736865.957789351810	9.55	5.55	
736865.957800925940	9.54	5.55	
736865.957812499950	9.55	5.54	
736865.957824074080	9.54	5.54	
736865.957835648090	9.54	5.54	
736865.957847222220	9.55	5.55	
736865.957858796350	9.54	5.55	
